,5830.T      # いよぎんホールディングス,5831.T      # しずおかフィナンシャルグループ,5844.T      # 京都フィナンシャルグループ,7167.T      # めぶきフィナンシャルグループ,7186.T      # コンコルディア・フィナンシャルグループ,8331.T      # 千葉銀行,7173.T      # 東京きらぼしフィナンシャルグループ,7180.T      # 九州フィナンシャルグループ,7184.T      # 富山第一銀行,R_BANK9
2025-10-10 04:35:00+00:00,-1.0935318752908318,-2.049382716049386,-3.4309096632042846,-2.9483212235875245,-1.2894619831036014,-1.6759776536312887,-0.8141112618724522,-2.799360107207638,-2.1178027796161514,-2.024317695951462
2025-10-10 04:40:00+00:00,-1.0935318752908318,-2.0246913580246884,-3.399433427762044,-2.9800288038470124,-1.3339261894175225,-1.7088399605652338,-0.8141112618724522,-2.799360107207638,-1.985440105890135,-2.015484787764173
2025-10-10 04:45:00+00:00,-1.2563983248022326,-2.0987654320987703,-3.525338369531006,-3.0117299342325654,-1.4673188083592748,-1.807426881367069,-0.9497964721845276,-2.8450667352335812,-2.1178027796161514,-2.1199604152694644
2025-10-10 04:50:00+00:00,-1.2563983248022326,-2.0000000000000018,-3.5568146049732463,-3.0751321950036825,-1.5562472209871059,-1.8731514952349704,-1.2211668928086894,-2.9821796454591154,,-2.1901362974086305
2025-10-10 04:55:00+00:00,-1.3261982317356868,-2.0740740740740726,-3.619767075857727,-3.053995958122002,-1.5562472209871059,-1.8731514952349704,-1.2211668928086894,-3.0507326136457236,-2.3163467902051593,-2.232408928074571
2025-10-10 05:00:00+00:00,-1.3029315960912058,-2.172839506172841,-3.7141957821844485,-3.0751321950036825,-1.645175633614937,-1.9717384160368057,-1.2211668928086894,-3.1421388958453034,-2.382528127068162,-2.291983004980675
2025-10-10 05:05:00+00:00,-1.2796649604467247,-2.123456790123457,-3.682719546742208,-2.9483212235875245,-1.645175633614937,-1.9060138021689155,-1.085481682496603,-3.073585927658695,-2.382528127068162,-2.2363275215452476
2025-10-10 05:10:00+00:00,-1.349464867380179,-2.246913580246912,-3.7141957821844485,-3.053995958122002,-1.6896398399288581,-2.0046007229707508,-1.2211668928086894,-3.2106988378842294,-2.4487094639311757,-2.3265984383841385
2025-10-10 05:15:00+00:00,-1.349464867380179,-2.2716049382716097,-3.7771482530689293,-3.053995958122002,-1.7341040462427793,-1.9717384160368057,-1.3568521031207648,-3.164992209858275,-2.4487094639311757,-2.3476233617813915
2025-10-10 05:20:00+00:00,-1.4890646812470876,-2.3456790123456805,-3.903053194837902,-3.127969562270916,-1.7785682525566893,-2.037463029904696,-1.4925373134328401,-3.2335451780448943,-2.6472534745201837,-2.4505704110178765
2025-10-10 05:25:00+00:00,-1.37273150302466,-2.246913580246912,-3.8086244885111697,-3.0434310646181295,-1.6896398399288581,-1.8731514952349704,-1.4925373134328401,-3.0393094435653856,-2.581072137657181,-2.349712318468901
2025-10-10 05:30:00+00:00,-1.3261982317356868,-2.246913580246912,-3.84010072395341,-3.053995958122002,-1.6896398399288581,-1.9717384160368057,-1.4925373134328401,-3.073585927658695,-2.5148908007941784,-2.3566223102121544
2025-10-10 05:35:00+00:00,-1.2563983248022326,-2.2716049382716097,-3.7141957821844485,-2.958892566965332,-1.6896398399288581,-1.9388761091028606,-1.4925373134328401,-3.016456129552414,-2.5148908007941784,-2.3170546450038634
2025-10-10 05:40:00+00:00,-1.0702652396463508,-2.1975308641975277,-3.619767075857727,-2.832081595549174,-1.5562472209871059,-1.774564574433124,-1.3568521031207648,-2.879343219326891,-2.382528127068162,-2.1854644466874253
2025-10-10 05:45:00+00:00,-1.0237319683573776,-2.0987654320987703,-3.619767075857727,-2.7264068610146963,-1.4673188083592748,-1.6759776536312887,-1.2211668928086894,-2.8222134212206096,-2.183984116479154,-2.09325913664751
2025-10-10 05:50:00+00:00,-0.7445323406235493,-1.7530864197530915,-3.2735284859930713,-2.4622200246785075,-1.2005335704757703,-1.4130791981597057,-1.085481682496603,-2.5251412606088874,-2.183984116479154,-1.849065233252038
2025-10-10 05:55:00+00:00,-0.9771986970684043,-1.9012345679012332,-3.2735284859930713,-2.3671101836479025,-1.2894619831036014,-1.5116661189615521,-1.085481682496603,-2.5251412606088874,-2.2501654533421567,-1.90899871479149
2025-10-10 06:00:00+00:00,-1.2331316891577515,-1.9506172839506175,-3.3050047214353118,-2.504492498441868,-1.3339261894175225,-1.6102530397633874,-1.2211668928086894,-2.73080713902103,-2.382528127068162,-2.0302141756738155
2025-10-10 06:05:00+00:00,-1.2331316891577515,-1.9506172839506175,-3.336480956877552,-2.3988177639073904,-1.2894619831036014,-1.5773907328294423,-1.3568521031207648,-2.6622471969821038,-2.382528127068162,-2.0208364263330427
2025-10-10 06:10:00+00:00,-1.3029315960912058,-2.0987654320987703,-3.399433427762044,-2.5678947592129853,-1.4228546020453536,-1.774564574433124,-1.2211668928086894,-2.7650836231143283,-2.581072137657181,-2.1259741161359647
2025-10-10 06:15:00+00:00,-1.3029315960912058,-2.0987654320987703,-3.336480956877552,-2.3671101836479025,-1.4673188083592748,-1.7088399605652338,-1.3568521031207648,-2.719376995088385,-2.5148908007941784,-2.0969518707381405
2025-10-10 06:20:00+00:00,-1.4657980456026065,-2.246913580246912,-3.4309096632042846,-2.578459652716858,-1.6896398399288581,-1.8731514952349704,-1.2211668928086894,-2.9707495015264707,-2.581072137657181,-2.2286512009918704
